platform,komentar,timestamp,sentimen,komentar_bersih
twitter,"Syukurlah.

Padahal yg lalai itu orang BKD nya. Si guru udah mengajukan berkas eh malah di anggurin.
Nga ada info maupun kejelasan.
Pada sibuk main onet kayaknya",2024-07-05T13:19:02.000Z,positif,syukur yg lalai orang bkd nya si guru udah aju berkas eh anggurin nga info jelas sibuk main onet kayak
twitter,Setahuku jalur prestasipun harus teradminiatrasi by sistem riwayatnya. Itu diinput oleh guru di smp nya. Setiap prestasi yg diinput akan muncul.poin dlm sistem penerimaan. Mohon maaf bisa jadi ini guru smpx lalai tidak input prestasix dlm sistemx Aneh aja udah di lvel timnas loh.,2024-07-05T04:27:44.000Z,positif,tahu jalur prestasi teradminiatrasi by sistem riwayat diinput guru smp nya prestasi yg diinput munculpoin dlm sistem terima mohon maaf guru smpx lalai input prestasix dlm sistemx aneh aja udah lvel timnas loh
twitter,"Ga usah diurus aja pensiumnya, biar dapat gaji sampe mati.

Sekda Sebut Guru TK yang Diminta Kembalikan Rp 75 Juta Lalai Urus Pensiun",2024-07-05T00:01:29.000Z,positif,ga urus aja pensiumnya biar gaji sampe mati sekda guru tk kembali rp juta lalai urus pensiun
twitter,"ktanya dianggap lalai krn gk ngurus pensiunan, pdhal si guru tu slma 2 taun msi ttep ngajar terus ngakunya gada yg ngasi tau klo 58 hrus pensiun. jdi balik lgi salah sekda, kan bs cek sistem kalo misal udh emg waktuny pensiun. skrg diminta balikin duit total 75jt selama ni-",2024-07-04T16:25:36.000Z,positif,ktanya anggap lalai krn gk ngurus pensiun pdhal si guru tu slma taun msi ttep ngajar ngakunya gada yg ngasi tau klo hrus pensiun jdi lgi salah sekda bs cek sistem kalo udh emg waktuny pensiun skrg balikin duit total jt ni
twitter,"Ditagih Rp 75 Juta, Guru TK Jambi Bantah Lalai Urus Pensiun #newsupdate #update #news #text",2024-07-04T14:09:33.000Z,netral,tagih rp juta guru tk jambi bantah lalai urus pensiun newsupdate update news text
twitter,"Bukankah Pemerintah jk ada pegawai yg akn pensiun Otomatis sdh mengetahui trs menerbitkan Skep Pensiun,salahnya Bu Guru tsb sdh mrs pensiun kenapa msh mau terima Gaji penuh,jadinya yah...22nya lalai itu kelebihan Gaji sbs Rp75jeti tsb kikmano baiknya Pemerintah,ini hny pendapat",2024-07-04T09:59:47.000Z,positif,perintah jk pegawai yg akn pensiun otomatis sdh trs terbit skep pensiunsalahnya bu guru tsb sdh mrs pensiun msh terima gaji penuhjadinya yahnya lalai lebih gaji sbs rpjeti tsb kikmano baik pemerintahini hny dapat
twitter,Ini yang dinamakan pepatah guru kencing berdiri lalu dipukuli yaa seperti ini.... mengabdi tapi negara yang lalai lalu seolah guru ini yang salah duhh,2024-07-04T05:11:03.000Z,positif,nama pepatah guru kencing diri pukul yaa abdi negara lalai guru salah duhh
twitter,"Guru TK ini urusan kotkab, kan? BKD yg lalai, guru dirugikan, Sekda pasang badan buat BKD. Mantap :)",2024-07-04T04:53:27.000Z,positif,guru tk urus kotkab bkd yg lalai guru rugi sekda pasang badan bkd mantap
twitter,"Ko dibilang lalai, kan usia pensiun guru itu 60 tahun dan  pengajuan pensiun itu satu tahun sebelum masanya. Jadi benar jika mengajukan pensiun di usia 59 tahun.",2024-07-04T04:22:53.000Z,positif,ko bilang lalai usia pensiun guru aju pensiun masa aju pensiun usia
twitter,"Pemerintah dan Bagian Kepegawaian telah lalai, DPRD juga lalai membiarkan, semoga Ibu Guru mendapat rezeki nonplok 75.juta akibat kelalaian mereka",2024-07-04T03:58:16.000Z,positif,perintah pegawai lalai dprd lalai biar moga guru rezeki nonplok juta akibat lalai
twitter,"'Mengembalikan uang negara selama dua tahun' katanya. Uang negara dari Hong Kong. Itu Bu guru bekerja mengajar selama dua tahun itu. Itu hak dia. Itu pejabat dinas terkait yg harus bertanggung jawab, karena lalai melaksanakan kewajiban mereka ihwal kepastian status Bu guru.",2024-07-04T02:16:37.000Z,positif,kembali uang negara uang negara hong kong bu guru ajar hak jabat dinas kait yg tanggung lalai laksana wajib ihwal pasti status bu guru
twitter,Harusnya negara dituntut karena lalai yg mengakibatkan Bu Guru rugi materil & immateril selama 2 thn,2024-07-03T15:40:45.000Z,positif,negara tuntut lalai yg akibat bu guru rugi materil immateril thn
twitter,HAHAHAAHHA PLIS KM NNTI DIMARAHIN IBU GURU BACA SETENGAH2!!! Harus belajar jg nanti aku yg dimarahin ibu guru km nyuruh nnton tapi lalai belajr!!!!,2024-07-03T09:16:53.000Z,positif,hahahaahha plis km nnti dimarahin guru baca ajar jg yg dimarahin guru km nyuruh nnton lalai belajr
twitter,ngorbanin waktu berharga yg seharusnya bisa untuk mengerjakan biologi dan gw malah gabisa ikut recording diluar cuma gara2 oknum guru yg lalai,2024-06-19T11:41:29.000Z,positif,ngorbanin harga yg biologi gw gabisa recording luar gara oknum guru yg lalai
twitter,Dannn agar org islam lalai solat subuh nyaaaa kata pak Arifin kalo ngga salah guru fiqih SMP guaaaa,2024-06-18T09:50:51.000Z,positif,dannn org islam lalai solat subuh nyaaaa arifin kalo ngga salah guru fiqih smp guaaaa
twitter,"3. ga pakai mipy sampai ke akar akarnya. sadar diri kalau aku ga les/bimbel, ga punya guru, jadi jangan lalai gunain kesempatan

4. gajelas cok aku suka skip TO dan suka nunda2 TO. gapapa lah karena dulu mindsetnya aku harus ngerti materi baru bisa TO. tapi sekarang—",2024-06-17T10:45:24.000Z,negatif,ga pakai mipy akar akar sadar ga lesbimbel ga guru lalai gunain sempat gajelas cok suka skip to suka nunda to gapapa mindsetnya ngerti materi to
twitter,MAAF YA LALAI  ada remedial gak pak guru..?,2024-06-10T06:01:46.000Z,positif,maaf ya lalai remedial gak guru
twitter,"SPP Dan DSP adalah urusan orang tua, Guru dan sekolah tidak berhak menghakimi anak didik, menskor atau melarang mengikuti kegiatanPendidikan, Itu adalah tanggung jawab ORANG TUA, silahkan hukum ortu tapi jangan anak didik, yang lalai adalah ortu...",2024-06-09T10:19:33.000Z,positif,spp dsp urus orang tua guru sekolah hak hakim anak didik skor larang ikut kegiatanpendidikan tanggung orang tua silah hukum ortu anak didik lalai ortu
twitter,"+ lu harus bisa pastiin keamanan makhluk hidup di sekitar lu, pastiin anjing lu ga nyerang, pastiin lu jg treat rekan kerja lu (iya, itu anjing lu ya rekan kerja lu jg) dgn bener.

Kasir nilep uang? Guru bully siswa? Security lalai sampe ada kitten mati dan mukul rekan kerja +",2024-06-08T18:16:29.000Z,positif,lu pastiin aman makhluk hidup lu pastiin anjing lu ga nyerang pastiin lu jg treat rekan kerja lu iya anjing lu ya rekan kerja lu jg dgn bener kasir nilep uang guru bully siswa security lalai sampe kitten mati mukul rekan kerja
twitter,"Terus memperbaiki diri walau selalu terjebak dalam dosa yg sama berkali-kali. Barakat Guru-guru bersambung2 sampai kepada Rasulullah Shalallahu 'Alaihi Wasallam, mudah-mudahan senantiasa Allaah tarik kita semua dari segala hal yang membuat lalai padaNya...

Yaa Arhamarrahimin..",2024-06-08T13:30:00.000Z,negatif,baik jebak dosa yg berkalikali barakat guruguru sambung rasulullah shalallahu alaihi wasallam mudahmudahan senantiasa allaah tarik lalai yaa arhamarrahimin
twitter,"dunia pendidikan semenjak dipimpin blio ni mawut semawut mawutnya. guru disibukkan sm administrasi2 gajelas yg dimana jadi lalai sama tujuan/fokus utama yaitu muridnya. dengan berkembangnya teknologi ko ga malah makin pinter2 tp makin less manner, less knowledge, less everything",2024-06-05T22:51:58.000Z,positif,dunia didik semenjak pimpin blio ni mawut mawut mawut guru sibuk sm administrasi gajelas yg mana lalai tujuanfokus utama murid kembang teknologi ko ga pinter tp less manner less knowledge less everything
twitter,"Dhawuh guru saya, sholawat jibril ""shollallah 'ala muhammad"" istiqomah minimal sehari 1000. Karena wirid sholawat dibaca dalam keadaan lalai pun Allah sudah ridho apalagi dibaca dalam keadaan fokus dan menghadirkan rasulullah ketika membacanya insyaallah dimudahkan segala urusan",2024-06-04T03:28:22.000Z,negatif,dhawuh guru sholawat jibril shollallah ala muhammad istiqomah minimal hari wirid sholawat baca lalai allah ridho baca fokus hadir rasulullah baca insyaallah mudah urus
twitter,"Guru lalai dan acuh, penjarain.",2024-06-02T05:56:57.000Z,positif,guru lalai acuh penjarain
twitter,"BURUH KASAR MUDA : PERDANA MENTERI LA LALAI ASYIK HINA BURUH KASAR SAHAJE 
https://youtube.com/watch?v=gSJlLtkS3S4… ""INI GURU""",2024-05-30T11:38:20.000Z,positif,buruh kasar muda perdana menteri la lalai asyik hina buruh kasar sahaje guru
twitter,"Aku pernah jadi guru TK. Ya Tuhan anak² itu aktifnya... Kita lalai dikit ada aja kejadian. Jatuh, kepukul, kejedot, lari ke jalan, dll. Orang sekitar pasti hati², tapi anak² ngga akan hati². Jadi pelajaran khususnya untuk orang tuanya. Jangan sampai merugi diri apalagi org lain.",2024-05-29T05:58:20.000Z,positif,guru tk ya tuhan anak aktif lalai dikit aja jadi jatuh pukul jedot lari jalan dll orang hati anak ngga hati ajar orang tua rugi org
twitter,"Entah aku yg sebagai siswa lalai, atau guru nya yang salah? Setiap ulangan, dibuatkan kisi kisi, dipelajari oleh siswa, tapi pas ulangan soalnya beda 100% sama yang dikisi kisi. Kaya kita nya yg salah gak nyimak materi atau gimana?",2024-05-28T11:06:44.000Z,positif,yg siswa lalai guru nya salah ulang buat kisi kisi ajar siswa pas ulang beda kisi kisi kaya nya yg salah gak nyimak materi gimana
twitter,"Terkini, Polres Jombang menjerat sopir bus, Yanto (36) sebagai tersangka. Dia diduga lalai sehingga menyebabkan bus terlibat kecelakaan. Dua orang, yakni guru dan kondektur, meninggal akibat kecelakaan tersebut.",2024-05-27T03:23:08.000Z,netral,kini polres jombang jerat sopir bus yanto sangka duga lalai sebab bus libat celaka orang guru kondektur tinggal akibat celaka
twitter,Sopir dinilai lalai sehingga menyebabkan bus terlibat kecelakaan. Dua orang yakni guru dan kondektur meninggal dunia dalam tabrakan tersebut. http://dlvr.it/T7R0kg,2024-05-26T22:01:35.000Z,netral,sopir nilai lalai sebab bus libat celaka orang guru kondektur tinggal dunia tabrak
twitter,"Mesti pecat guru olah raga dan wali kelasnya... Gaji mau kerja ga mau lgpl anak 11 tahun disuruh bakar sampah kalopun ga jahil bisa aja lalai dan 1 sekolah terbakar lalu bagaimana? 
@nadiemmakarim",2024-05-26T07:15:38.000Z,positif,mesti pecat guru olah raga wali kelas gaji kerja ga lgpl anak suruh bakar sampah kalo ga jahil aja lalai sekolah bakar nadiemmakarim
twitter,Guru lagi yg disalahkan karena lalai,2024-05-26T06:03:07.000Z,positif,guru yg salah lalai
twitter,"3. ceroboh/lalai guru trhdp siswa yg mmbakar smpah, itu kn msi SD yg harusnya dalam pantauan guru aplgi mbakar smphny pke bahan bakar, ntah itu pertalit/mnyak tnah.",2024-05-25T21:34:01.000Z,positif,cerobohlalai guru trhdp siswa yg mmbakar smpah kn msi sd yg pantau guru aplgi mbakar smphny pke bahan bakar ntah pertalitmnyak tnah
twitter,"Ini saat jam sekolah kah?
Jk iya MK sekolah bisa dianggap lalai memberi lingkungan yg nyaman utk anak didik
Oknum guru jg bisa dikenai pidana Krn perbuatannya dpt dianggap membahayakan anak di bawah umur",2024-05-25T14:46:45.000Z,positif,jam sekolah kah jk iya mk sekolah anggap lalai lingkung yg nyaman utk anak didik oknum guru jg kena pidana krn buat dpt anggap bahaya anak umur
twitter,"Kadang emang ada oknum oknum guru yang crnderung abai dan lalai tentang pembulian, apalagi yang melapor terkait pembulian dirasa kurang disukai guru. Dulu juga pernah sama temen2 lapor karena ada temen cwo yg iseng tapi dilihat juga engga waktu lapor pdhl itu dulu guru agama ",2024-05-25T12:59:50.000Z,positif,kadang emang oknum oknum guru crnderung abai lalai bulian lapor kait bulian rasa suka guru temen lapor temen cwo yg iseng engga lapor pdhl guru agama
twitter,"Klo aku jadi ortu korban,Aku akan lapor polisi gak peduli pelakunya masih anak²,Yang pasti usia 11 pastinya usia kelas Tinggi,udah tau mana benar mana salah.Termasuk sekolahnya juga harus diselidiki,guru harus ada yang jadi tersangka karena lalai.Pertalite?what?",2024-05-25T12:29:23.000Z,positif,klo ortu korbanaku lapor polisi gak peduli laku anakyang usia pasti usia kelas tinggiudah tau salahtermasuk sekolah diselidikiguru sangka lalaipertalitewhat
twitter,"Parah mmg lalai
Tapi ya gmn
Pendidik di bayar rendah

Pada sok perhatian klo ada kejadian gini...
Tapi perhatiin kesejahteraan guru mingkem

Bajingan semua",2024-05-25T09:58:39.000Z,positif,parah mmg lalai ya gmn didik bayar rendah sok perhati klo jadi gin perhatiin sejahtera guru mingkem bajing
twitter,Semua guru yg ada di sekolah itu harus dituntut karena lalai dan abai dalam menjalankan tugas,2024-05-25T08:18:12.000Z,positif,guru yg sekolah tuntut lalai abai jalan tugas
twitter,"tetep semuanya dibebankan ke guru atas dalih, ""karena lalai dalam mengawasi siswanya."" padahal gua ngajar slb. anak2 autis. yg punya potensi tantrum selalu. yg melempar dan merusak barang itu bakal pernah terjadi. TAPI GABOLEH TERJADI. gua harus secepat kilat dengan—",2024-05-24T21:26:30.000Z,positif,tetep beban guru dalih lalai awas siswa gua ngajar slb anak autis yg potensi tantrum yg lempar rusak barang gaboleh gua cepat kilat
twitter,Pls spill tu anak-anak sd  yang ikut bakarin dan tu guru SD yang lalai biar kita bully se nasional 24/7 ,2024-05-24T05:53:01.000Z,positif,pls spill tu anakanak sd bakarin tu guru sd lalai biar bully nasional
twitter,"Waduh ini kok bisa gurunya lalai. Aku juga guru, bahkan lagi ngajar aja kadang susah ke toilet, takut meleng dikit anak kemana"". Apalagi anak yg lagi megang barang rawan kebakaran begini. Bener"" gak boleh meleng",2024-05-24T03:42:53.000Z,positif,guru lalai guru ngajar aja kadang susah toilet takut meleng dikit anak mana anak yg megang barang rawan bakar bener gak meleng
twitter,"Ya emang gak ada guru yg mengajarkan kekerasan dsb,

Tapi lalai sebagai guru ,

Serta orang tua pelaku juga lalai",2024-05-24T03:29:32.000Z,positif,ya emang gak guru yg ajar keras dsb lalai guru orang tua laku lalai
twitter,"Innalilahi wa'innailaihi rojiun 
Astagfirullaah!

Puncak dr bullyan teman yg ga dianggap sm walasnya setiap ngadu, siram bensin (ntah yg siram paham/tidak bahayanya)

Jelas² ini guru lalai!!! Anak SD disuruh bakar sampah aja udah teledor! mana disuruh pk bensin lg!
BODOH!!",2024-05-24T01:19:46.000Z,positif,innalilahi wainnailaihi rojiun astagfirullaah puncak dr bullyan teman yg ga anggap sm walasnya ngadu siram bensin ntah yg siram pahamtidak bahaya guru lalai anak sd suruh bakar sampah aja udah teledor suruh pk bensin lg bodoh
twitter,"Hukum pelaku, karena walaupun masih kecil tapi tindakannya sudah kriminal. 
Membully dan membunuh. 
Kalau anaknya tidak bisa dihukum karena dianggap masih dibawah umur, maka gantinya adalah orangtuanya. 
Dan pihak sekolah dan guru juga harus dihukum karena sudah bertindak lalai.",2024-05-24T01:02:24.000Z,positif,hukum laku tindak kriminal membully bunuh anak hukum anggap bawah umur ganti orangtuanya sekolah guru hukum tindak lalai
twitter,"Mau minyak tanah atau pertalite
Intinya sama saja dibunuh oleh anak jahat yg suka bully itu.
Dan seharusnya anak itu ditangkap & dipenjarakan, kalau anak itu dianggap masih dibawah umur maka gantinya adalah orangtuanya.
Pihak guru & sekolah pun harus dihukum karena telah lalai.",2024-05-24T00:57:36.000Z,positif,minyak tanah pertalite inti bunuh anak jahat yg suka bully anak tangkap penjara anak anggap bawah umur ganti orangtuanya guru sekolah hukum lalai
twitter,"KL TU BOCAH"" KAGAK BISA DIPENJARA MINIMAL KELUARGA KORBAN GEBUKIN DULU TU BOCAH"" SEKALIAN SAMA ORANG TUANYA ANJING EMOSI GUA. GURUNYA JUGA HARUS DIKASI HUKUMAN YG SEPADAN KARENA LALAI JD GURU.",2024-05-23T23:21:02.000Z,positif,kl tu bocah kagak penjara minimal keluarga korban gebukin tu bocah orang tua anjing emosi gua guru kasi hukum yg padan lalai jd guru
twitter,"Ini aku dengerin cerita dari temen2ku yang rata2 masih bocil SMA ... Kadang saking seringnya absen, murid2 jd ngerasa guru ini real ga berfungsi.. Makanya skrng banyaaaakkk banget guru yang lalai sma kondisi murid2nya di sekolah.. Terus banyak bikin alasan...",2024-05-23T20:15:59.000Z,positif,dengerin cerita temenku bocil sma kadang saking absen murid jd ngerasa guru real ga fungsi skrng banyaaaakkk banget guru lalai sma kondisi murid sekolah bikin alas
twitter,"Sekolah Menengah, efeknya nggk main² sampe dewasa, jdi tolong klo ad siswa yg dibully dengerin keduanya jgn cba condong di awal cma karna nggk mau disalahin akibat lalai, jdi guru harus peka jg sma siswa anggep aja mereka anak atau adik kita, dan masih banyak jg kok guru² yg oke.",2024-05-23T18:31:38.000Z,negatif,sekolah tengah efek nggk main sampe dewasa jdi tolong klo ad siswa yg dibully dengerin jgn cba condong cma karna nggk disalahin akibat lalai jdi guru peka jg sma siswa anggep aja anak adik jg guru yg oke
twitter,"Ini kira2 yg jadi gurunya merasa bersalah nggak ya? Menyesal seumur hidup nggak, ya karena udah lalai banget sampai ngilangin nyawa Anak didiknya? 

Gak habis pikir, bisa2nya Guru nyuruh bakar sampah pakai bahan bakar tanpa pengawasan.. Aduh..",2024-05-23T18:22:54.000Z,positif,yg guru salah nggak ya sesal umur hidup nggak ya udah lalai banget ngilangin nyawa anak didik gak habis pikir bisa guru nyuruh bakar sampah pakai bahan bakar awas aduh
twitter,"Bahkan ketika perempuan di posisi bener aja masih bisa disalahkan. 

Jahat banget guru dan teman-temannya. Guru lalai melakukan pengawasan, lagian jaman sekarang masih aja bakar sampah. Temannya? Dakjal.",2024-05-23T10:25:02.000Z,positif,perempuan posisi bener aja salah jahat banget guru temantemannya guru lalai awas jaman aja bakar sampah teman dakjal
twitter,"Tahu tak di app eBook 
@eSentral
 , pelajar, guru atau sesiapa boleh akses buku teks digital KPM.

Yup! Kita saja lalai.",2024-05-17T01:22:35.000Z,positif,app ebook esentral ajar guru siapa akses buku teks digital kpm yup lalai
twitter,"Lempar tanggung jawab nih,pemerintah lalai,yg disalahin guru.",2024-05-14T16:56:15.000Z,positif,lempar tanggung nihpemerintah lalaiyg disalahin guru
twitter,"kata guru ku, skrg aku kl pake kerudung rambut depan nya jd keliatan terus  sedih banget di bilang gt, soalnya ak langsung kek ngerasa lalai pake kerudung krn belum benerr. gmn yaaa.. aku gk mw pake ciput soalnya  maaf ya Allah",2024-05-14T14:40:18.000Z,positif,guru ku skrg kl pake kerudung rambut nya jd liat sedih banget bilang gt ak langsung kek ngerasa lalai pake kerudung krn benerr gmn yaaa gk mw pake ciput maaf ya allah
twitter,"Pihak sekolah atau guru lalai, karena tidak mengecek terlebih dahulu kondisi bus, yang harusnya sebelum di pilih untuk digunakan study tour, pihak sekolah harus mengecek uji kelayakan kendaraan atau kir, dan cek kesehatan mesin, jangan terfokus pada body yang bagus",2024-05-14T11:55:53.000Z,positif,sekolah guru lalai ecek kondisi bus pilih study tour sekolah ecek uji layak kendara kir cek sehat mesin fokus body bagus
twitter,"Seharusnya selain sopir jd tersangka pemilik PO BUS nya juga dunk (CEO/Direktur), krn dia jg dianggap lalai maintance bus2 yg dia miliki.

Jangan salahkan study tour nya sbg kegiatan unfaedah, saya rasa itu banyak mamfaatnya khususnya bagi siswa dan guru. Jgn sewa yg abal2 aja",2024-05-14T03:14:07.000Z,positif,sopir jd sangka milik po bus nya dunk ceodirektur krn jg anggap lalai maintance bus yg milik salah study tour nya sbg giat unfaedah mamfaatnya siswa guru jgn sewa yg abal aja
twitter,Kejadian Subang adalah musibah..knp dijadikan tudingan kl study tour itu ajang guru untuk senang² dan dapat uang? Kenapa tidak menuduh PO bus nya yg lalai dalam maintenance? Atau regulator yg tidak strict dalam mengawasi alat transportasi umum?,2024-05-13T20:08:32.000Z,positif,jadi subang musibahknp jadi tuding kl study tour ajang guru senang uang tuduh po bus nya yg lalai maintenance regulator yg strict awas alat transportasi
twitter,"Bener, yg salah itu jelas Pihak Guru dan Pihak Sekolah yg sangat lalai",2024-05-13T15:28:32.000Z,positif,bener yg salah guru sekolah yg lalai
twitter,"Pemerintah yang lalai, guru yang dikambing hitamkan..",2024-05-13T10:36:01.000Z,positif,perintah lalai guru kambing hitam
twitter,"Gagitu cok, yang lalai siapa ko jadi guru yang kena fitnah. Pikir2 dulu deh kalo mau ngetik..",2024-05-13T09:39:29.000Z,positif,gagitu cok lalai ko guru kena fitnah pikir deh kalo ngetik
twitter,"ga setuju, kecelakaan ini terjadi bukan karena ini study tour
tapi ke kelalaian semua orang dewasa yang terlibat, mulai dari po. bus yang lalai untuk perawatan, guru dan penanggung jawab yang lalai mengecek dan menuntut faktor keselamatan, sampai pihak pemberi ijin po -",2024-05-12T23:48:38.000Z,positif,ga tuju celaka study tour lalai orang dewasa libat po bus lalai awat guru tanggung lalai ecek tuntut faktor selamat beri ijin po
twitter,"Gue setuju sama poin ibunya, dan udah ngomong jaga2 buat cek kondisi busnya sampe detail gitu. Berarti ini lalai dr pihak guru dan armada. 

Gue sih, kalau jadi gurunya diperingatin gitu jd gelisah dan make sure kondisi ulang bisnya ke armadanya.",2024-05-12T06:45:26.000Z,positif,gue tuju poin ibu udah ngomong jaga cek kondisi bus sampe detail gitu lalai dr guru armada gue sih guru diperingatin gitu jd gelisah make sure kondisi ulang bis armada
twitter,"Berat banget jadi guru
Seharian tanggung jawab nungguin anaknya sampai mengesampingkan kebutuhan pribadi, tapi masih dianggap lalai. 
Pas anaknya hilang dari rumah, yg ditelpon guru. Anak dapat musibah ini itu, gurunya pula ikut disalahin.",2024-05-10T13:07:40.000Z,positif,berat banget guru hari tanggung nungguin anak samping butuh pribadi anggap lalai pas anak hilang rumah yg telpon guru anak musibah guru disalahin
twitter,"Simalakama jadi guru : gaji rendah, didikan ortu salah yg disalahin guru, murid tinggal kelas salah dianggap ga bisa didik, dinaikin juga salah karena hasilnya membagongkan dan dibilang guru ga bisa didik. Pdhl dibalik itu semua ada ortu yg ga peduli/lalai ngedidik anaknya",2024-05-06T13:16:57.000Z,positif,simalakama guru gaji rendah dik ortu salah yg disalahin guru murid tinggal kelas salah anggap ga didik dinaikin salah hasil bagong bilang guru ga didik pdhl balik ortu yg ga pedulilalai ngedidik anak
twitter,"disekolah ku ada jg guru yg jadi seleb tiktok tapi bukan konten edukasi. Dia cuma hobby live menyambut bapak2 yg join ke livenya. Iyaaa bapak2 usia 50an gitu, dan di gift. Giftnya yg bikin dia kecanduan akhirnya dia lalai dengan tanggung jawab dan tupoksinya. Jadilah kena LSM trs",2024-05-05T21:42:07.000Z,positif,seko ku jg guru yg seleb tiktok konten edukasi hobby live sambut yg join livenya iyaaa usia an gitu gift giftnya yg bikin candu lalai tanggung tupoksinya kena lsm trs
twitter,Oke guru/sekolah bisa di tuntut.. tp pisah sekolah juga bisa menuntut wali murid/orang tua juga donk.. karena lalai terhadap anaknya sehingga tidak mentaati peraturan sekolah.. gmn..??,2024-05-05T19:29:59.000Z,positif,oke gurusekolah tuntut tp pisah sekolah tuntut wali muridorang tua donk lalai anak taat atur sekolah gmn
twitter,"Banyak orang tua lalai, bahwa tanggung jawab mendidik anak adalah tugas bersama, tugas guru sebagai orang tua disekolah dan tugas orang tua dirumah. Justru orang tua punya andil yang besar dlm mendidik anaknya cos waktu anak bersama dengan orang tua itu jauh lbh bnyk dr sekolah.",2024-05-05T02:50:52.000Z,positif,orang tua lalai tanggung didik anak tugas tugas guru orang tua seko tugas orang tua rumah orang tua andil dlm didik anak cos anak orang tua lbh bnyk dr sekolah
twitter,"Miris sih. Orang tua lalai. Iya emang sekarang ninggal gadget tuh susah. Tp kalo ditegesin bisa kok anaknya. Kadang jg guru"" ngasih pr via wa otomatis anak Jd buka hp. Nah celah itu kadang digunain buat nonton yg lain. Kalo ortunya ga ngawasin ya wassalam",2024-05-01T10:11:18.000Z,positif,miris sih orang tua lalai iya emang ninggal gadget tuh susah tp kalo ditegesin anak kadang jg guru ngasih pr via wa otomatis anak jd buka hp celah kadang digunain nonton yg kalo ortunya ga ngawasin ya wassalam
twitter,"nah makanya pa guru, biar ga lalai, jangan lama2 yakk restnya pa guru. 

boleh aja bole tetesin air mata, kalo keluar berlian bagi bagi yakk wkwk https://x.com/ncanhee/status/ncanhee/status/1783860800765276509…",2024-04-26T14:28:58.000Z,netral,pa guru biar ga lalai yakk restnya pa guru aja bole tetesin air mata kalo berlian yakk wkwk
twitter,"2. @AST90CY 

Seorang guru math yang terkenal tegas namun sangat ramah. Dia akan sangat baik jika kita mengikuti pembelajaran dengan baik, namun ketika kita lalai tentu saja taringnya akan keluar. Salah satu yang ditakuti siswa laki-laki.",2024-04-20T07:55:03.000Z,positif,astcy guru math kenal ramah ikut ajar lalai taring salah takut siswa lakilaki
twitter,Justru harusnya pertanyakan yg nyekolahin anaknya ke pesatren eh balik2 g bernyawa anaknya. Kek.. mau nyalahi ortu lalai? Guru ga bertanggung jawab? Temen jahat?,2024-04-18T05:43:30.000Z,positif,yg nyekolahin anak pesatren eh g nyawa anak kek nyalahi ortu lalai guru ga tanggung temen jahat
twitter,"Guru beserta staf telah mengerahkan segala tenaga untuk memohon agar tidak menurunkan akreditasi sekolah itu. Tetapi nihil, hasilnya mereka tetap bersikukuh memberikan akreditasi C terhadap sekolah Tadika Mesra karena dianggap lalai dalam segala hal.",2024-04-07T02:45:05.000Z,positif,guru serta staf kerah tenaga mohon turun akreditasi sekolah nihil hasil bersikukuh akreditasi c sekolah tadika mesra anggap lalai
twitter,"Lalai melaksanakan tanggung jawab tepat waktu 
Nama : Eska Vollantya kab. Bangka 
Guru les bahasa arab & mahasiswi UST Jogja Universitas Sarjanawiyata Tamsis (non aktif) jurusan psikologi
Yg kenal tlg utk blgin segera menyelesaikan.
Akan di td setelah pelunasan
@agathaskay",2024-03-21T14:53:39.000Z,netral,lalai laksana tanggung nama eska vollantya kab bangka guru les bahasa arab mahasiswi ust jogja universitas sarjanawiyata tamsis non aktif jurus psikologi yg kenal tlg utk blgin selesai td lunas agathaskay
twitter,"Jangan ada lagi yang bilang ""namanya juga anak-anak"".

Kalo udah tau masih anak-anak ya berarti masih harus terus berada di bawah pengawasan dan didikan orang dewasa, entah orang tua-saudara-guru.

Kalo lalai dan abai ya ada konsekuensinya.",2024-03-21T02:52:42.000Z,positif,bilang nama anakanak kalo udah tau anakanak ya awas dik orang dewasa orang tuasaudaraguru kalo lalai abai ya konsekuensi
twitter,"Sekarang malem ke 10 pertama ramadhan buat yg mulai selasa, apa yg ibadah berkesan dihati ini? Ucap guru kepada para muridnya, amalan apa aja yg udah dikerjain, ya Allah dalem hati berasa lalai, semoga slalu diberi istiqomah buat ngejalanin ibadah ini ",2024-03-20T16:33:41.000Z,negatif,malem ramadhan yg selasa yg ibadah kesan hati guru murid amal aja yg udah dikerjain ya allah dalem hati asa lalai moga slalu istiqomah ngejalanin ibadah
twitter,"jadi kalaupun ada suatu hal itu jadi tanggung jawab bersama, guru membekali pengetahuan sejak dini di sekolah dan orang tua juga jangan lalai, abai, acuh, menyerahkan segala didikannya di sekolah.
sedangkan dirumah guru tidak bisa mengawasi semua anak didik.",2024-03-11T06:02:52.000Z,positif,tanggung guru bekal tahu sekolah orang tua lalai abai acuh serah dik sekolah rumah guru awas anak didik
twitter,"respon pembuat sistem : 
""Webminar menjadi guru yang entrepreneur, entrepreneur yang guru""

guru mulai lalai melaksanakan tugas sebagai guru. guru disalahin rakyat lagi...",2024-03-08T03:05:54.000Z,positif,respon buat sistem webminar guru entrepreneur entrepreneur guru guru lalai laksana tugas guru guru disalahin rakyat
